"entry_type","title","cdt_code","description"
"Procedure","anatomical crown exposure one to three teeth per quadrant",4231,"Revised 2018: Anatomical crown exposure—one to three teeth or bounded tooth spaces per quadrant"
"Procedure","gingival flap procedure, including root planing four or more contiguous teeth or tooth bounded spaces per quadrant",4240,
"Procedure","gingival flap procedure, including root planing one to three contiguous teeth or tooth bounded spaces per quadrant",4241,
"Procedure","apically positioned flap",4245,
"Procedure","clinical crown lengthening hard tissue",4249,
"Procedure","osseous surgery (including elevation of a full thickness flap and closure) four or more contiguous teeth or tooth bounded spaces per quadrant",4260,
"Procedure","osseous surgery (including elevation of a full thickness flap and closure) one to three contiguous teeth or tooth bounded spaces per quadrant",4261,
"Procedure","bone replacement graft first site in quadrant",4263,
"Procedure","bone replacement graft each additional site in quadrant",4264,
"Procedure","biologic materials to aid in soft and osseous tissue regeneration",4265,
"Procedure","guided tissue regeneration resorbable barrier, per site",4266,
"Procedure","guided tissue regeneration non-resorbable barrier, per site (includes membrane removal)",4267,
"Procedure","surgical revision procedure, per tooth",4268,
"Procedure","pedicle soft tissue graft procedure",4270,
"Procedure","autogenous connective tissue graft procedure (including donor and recipient surgical sites) first tooth, implant or edentulous tooth position",4273,
"Procedure","distal or proximal wedge procedure (when not performed in conjunction with surgical procedures in the same anatomical area)",4274,
"Procedure","non-autogenous connective tissue graft (including recipient site and donor material) first tooth, implant, or edentulous tooth position in graft",4275,
"Procedure","combined connective tissue and double pedicle graft, per tooth",4276,
"Procedure","free soft tissue graft procedure (including recipient and donor surgical sites) first tooth, implant, or edentulous tooth position in graft",4277,
"Procedure","free soft tissue graft procedure (including recipient and donor surgical sites) each additional contiguous tooth, implant, or edentulous tooth position in same graft site",4278,
"Procedure","autogenous connective tissue graft procedure (including donor and recipient surgical sites) each additional contiguous tooth, implant or edentulous tooth position in same graft site",4283,
"Procedure","non-autogenous connective tissue graft procedure (including recipient surgical site and donor material) each additional contiguous tooth, implant or edentulous tooth position in same graft site",4285,
"Procedure","provisional splinting intracoronal",4320,
"Procedure","provisional splinting extracoronal",4321,
"Procedure","periodontal scaling and root planing four or more teeth per quadrant",4341,
"Procedure","periodontal scaling and root planing one to three teeth per quadrant",4342,
"Procedure","full mouth debridement to enable comprehensive evaluation and diagnosis",4355,"Revised 2018: Full mouth debridement to enable a comprehensive oral evaluation and diagnosis on a subsequent visit—defines it can’t occur on the same day as D0150, D0160 or D0180"
"Procedure","localized delivery of antimicrobial agents via a controlled release vehicle into diseased crevicular tissue, per tooth",4381,
"Procedure","periodontal maintenance",4910,
"Procedure","unscheduled dressing change (by someone other than treating dentist or their staff)",4920,
"Procedure","gingival irrigation per quadrant",4921,
"Procedure","unspecified periodontal procedure, by report",4999,
"Procedure","complete denture maxillary",5110,
"Procedure","complete denture mandibular",5120,
"Procedure","immediate denture maxillary",5130,
"Procedure","immediate denture mandibular",5140,
"Procedure","maxillary partial denture resin base (including any conventional clasps, rests and teeth)",5211,"Revised 2019: maxillary partial denture – resin base (including any conventional clasps retentive/clasping materials, rests and teeth). Includes acrylic resin base denture with resin or wrought wire clasps."
"Procedure","mandibular partial denture resin base (including any conventional clasps, rests and teeth)",5212,"Revised 2019: mandibular partial denture – resin base (including any conventional clasps retentive/clasping materials, rests and teeth). Includes acrylic resin base denture with resin or wrought wire clasps."
"Procedure","maxillary partial denture cast metal framework with resin denture bases (including any conventional clasps, rests and teeth)",5213,
"Procedure","mandibular partial denture cast meta framework with resin denture bases (including any conventional clasps, rests and teeth)",5214,
"Procedure","immediate maxillary partial denture resin base (including any conventional clasps, rests and teeth)",5221,
"Procedure","immediate mandibular partial denture resin base (including any conventional clasps, rests and teeth)Includes limited follow-up care only; does not include future rebasing/relining procedure(s).",5222,
"Procedure","immediate maxillary partial denture cast metal framework with resin denture bases (including any conventional clasps, rests and teeth",5223,
"Procedure","immediate mandibular partial denture cast metal framework with resin denture bases (including any conventional clasps,rests and teeth)",5224,
"Procedure","maxillary partial denture flexible base(including any clasps, rests and teeth)",5225,
"Procedure","mandibular partial denture flexible base (including any clasps, rests and teeth)",5226,
"Procedure","removable unilateral partial denture one piece cast metal (including clasps and teeth)",5281,"[This code was deleted in 2019.]"
"Procedure","adjust complete denture maxillary",5410,
"Procedure","adjust complete denture mandibular",5411,
"Procedure","adjust partial denture maxillary",5421,
"Procedure","adjust partial denture mandibular",5422,
"Procedure","repair broken complete denture base",5510,"Repair broken complete denture base [This code was deleted in 2018.]"
"Procedure","repair cast framework",5620,"[This code was deleted in 2018.]"
"Procedure","repair or replace broken clasp per tooth",5630,"Revised 2019: repair or replace broken clasp retentive/clasping materials – per tooth"
"Procedure","replace broken teeth per tooth",5640,
"Procedure","add tooth to existing partial denture",5650,
"Procedure","add clasp to existing partial denture per tooth",5660,
"Procedure","replace all teeth and acrylic on cast metal framework (maxillary)",5670,
"Procedure","replace all teeth and acrylic on cast metal framework (mandibular)",5671,
"Procedure","rebase complete maxillary denture",5710,
"Procedure","rebase complete mandibular denture",5711,
"Procedure","rebase maxillary partial denture",5720,
"Procedure","rebase mandibular partial denture",5721,
"Procedure","reline complete maxillary denture (chairside)",5730,
"Procedure","reline complete mandibular denture (chairside)",5731,
"Procedure","reline maxillary partial denture (chairside)",5740,
"Procedure","reline mandibular partial denture (chairside)",5741,
"Procedure","reline complete maxillary denture (laboratory)",5750,
"Procedure","reline complete mandibular denture (laboratory)",5751,
"Procedure","reline maxillary partial denture (laboratory)",5760,
"Procedure","reline mandibular partial denture (laboratory)",5761,
"Procedure","interim complete denture (maxillary)",5810,
"Procedure","interim completedenture(mandibular)",5811,
"Procedure","interim partial denture (maxillary)",5820,
"Procedure","interim partial denture (mandibular)",5821,
"Procedure","tissue conditioning, maxillary",5850,
"Procedure","tissue conditioning, mandibular",5851,
"Procedure","precision attachment, by report",5862,
"Procedure","overdenture complete maxillary D5864",5863,"overdenture partial maxillary D5865"
"Procedure","overdenture partial mandibular",5866,
"Procedure","replacement of replaceable part of semi-precision or precision attachment (male or female component)",5867,
"Procedure","modification of removable prosthesis following implant surgery",5875,"Attachment assemblies are reported using separate codes."
"Procedure","unspecified removable prosthodontic procedure, by report",5899,"Use for a procedure that is not adequately described by a code. Describe procedure."
"Procedure","facial moulage (sectional)",5911,"A sectional facial moulage impression is a procedureused to record the soft tissue contours of a portion of the face. Occasionally several separate sectional impressions are made, and then reassembled to provide a full facial contour cast. The impression is utilized to create a partial facial moulage and generally is not reusable."
"Procedure","facial moulage (complete)",5912,"Synonymous terminology: facial impression, face mask impression.A complete facial moulage impression is a procedure used to record the soft tissue contours of the whole face The impression is utilized to create a facial moulage and generally Is not reusable."
"Procedure","nasal prosthesis",5913,"Synonymous terminology: artificial nose.A removable prosthesis attached to the skin, which artificially restores part or all of the nose. Fabrication of a nasal prosthesis requires creation of an original mold. Additional prostheses usually can be made from thesame mold, and assuming no further tissue changes occur, the same mold can be utilized for extended periods of time.When a new prosthesis is made from the existing mold, this procedure is termed a nasal prosthesis replacement"
"Procedure","auricular prosthesis",5914,"Synonymous terminology: artificial ear, ear prosthesis.A removable prosthesis, which artificially restores part or all of the natural ear. Usually, replacement prostheses can be made from the original mold if tissue bed changes have not occurred. Creation of an auricular prosthesis requires fabrication of a mold, from which additional prostheses usually can be made, as needed later (auricular prosthesis, replacement)."
"Procedure","orbital prosthesi",5915,"A prosthesis, which artificially restores the eye, eyelids, and adjacent hard and soft tissue, lost as a result of trauma or surgery.Fabrication of an orbital prosthesis requires creation of an original mold. Additional prostheses usually can be made from the same mold, and assuming no further tissue changes occur, the same mold can be utilized for extended periods of time.When a new prosthesis is made from the existing mold, this procedure is termed an orbital prosthesis replacement."
"Procedure","ocular prosthesis",5916,"Synonymous terminology: artificial eye, glass eye.A prosthesis, which artificially replaces an eye missing as a result of trauma, surgery or congenital absence. The prosthesis does not replace missing eyelids or adjacent skin, mucosa or muscle.Ocular prostheses require semiannual or annual cleaning and polishing. Also, occasional revisions to re-adapt the prosthesis to the tissue bed may be necessary. Glass eyes are rarely made and cannot be re-adapted."
"Procedure","facial prosthesis",5919,"Synonymous terminology: prosthetic dressing.A removable prosthesis, which artificially replaces a portion of the face, lost due to surgery, trauma or congenital absence.Flexion of natural tissues may preclude adaptation and movement of the prosthesis to match the adjacent skin. Salivary leakage, when communicating with the oral cavity, adversely affects retention."
"Procedure","nasal septal prosthesis",5922,"Synonymous terminology: Septal plug, septal button.Removable prosthesis to occlude (obturate) a hole within the nasal septal wall. Adverse chemical degradation in this moist environment may require frequent replacement. Silicone prostheses are occasionally subject to fungal invasion."
"Procedure","ocular prosthesis, interim",5923,"Synonymous terminology: Eye shell, shell, ocular conformer, conformer.A temporary replacement generally made of clear acrylic resin for an eye lost due to surgery or trauma. No attempt is made to re-establish esthetics. Fabrication of an interim ocular prosthesis generally implies subsequent fabrication of an aesthetic ocular prosthesis."
"Procedure","cranial prosthesis",5924,"Synonymous terminology: Skull plate, cranioplasty prosthesis, cranial implant.A biocompatible, permanently implanted replacement of a portion of the skull bones; an artificial replacement for a portion of the skull bone."
"Procedure","facial augmentation implant prosthesis",5925,"Synonymous terminology: facial implant.An implantable biocompatible material generally onlayed upon an existing bony area beneath the skin tissue to fill in or collectively raise portions of the overlaying facial skin tissues to create acceptable contours.Although some forms of pre-made surgical implants are commercially available, the facial augmentation is usually custom made for surgical implantation for each individual patient due to the irregular or extensive nature of the facial deficit."
"Procedure","nasal prosthesis, replacement",5926,"Synonymous terminology: replacement nose.An artificial nose produced from a previously made mold. A replacement prosthesis does not require fabrication of a new mold. Generally, several prostheses can be made from the same mold assuming no changes occur in the tissue bed due to surgery or age related topographical variations."
"Procedure","auricular prosthesis, replacement",5927,"Synonymous terminology: replacement ear.An artificial ear produced from a previously made mold. A replacement prosthesis does not require fabrication of a new mold. Generally, several prostheses can be made from the same mold assuming no changes occur in the tissue bed due to surgery or age related topographical variations."
"Procedure","orbital prosthesis, replacement",5928,"A replacement for a previously made orbital prosthesis. A replacement prosthesis does not require fabrication of a new mold. Generally, several prostheses can be made from the same mold assuming no changes occur in the tissue bed due to surgery or age related topographical variations."
"Procedure","facial prosthesis, replacement",5929,"A replacement facial prosthesis made from the original mold.A replacement prosthesis does not require fabrication of a new mold. Generally, several prostheses can be made from the same mold assuming no changes occur in the tissue bed due to further surgery or age related topographical variations."
"Procedure","obturator prosthesis, surgical",5931,"Synonymous terminology: Obturator, surgical stayplate, immediate temporary obturator.A temporary prosthesis inserted during or immediately following surgical or traumatic loss of a portion or all of one or both maxillary bones and contiguous alveolar structures (e.g., gingival tissue, teeth).Frequent revisions of surgical obturators are necessary during the ensuing healing phase (approximately six months). Some dentists prefer to replace many or all teeth removed by the surgical procedure in the surgical obturator, while others do not replace any teeth. Further surgical revisions may require fabrication of another surgical obturator (e.g., an initially planned small defect may be revised and greatly enlarged after the final pathology report indicates margins are not free of tumor)."
"Procedure","obturator prosthesis, definitive",5932,"Synonymous terminology: obturatorA prosthesis, which artificially replaces part or all of the maxilla and associated teeth, lost due to surgery, trauma or congenital defects.A definitive obturator is made when it is deemed that further tissue changes or recurrence of tumor are unlikely and a more permanent prosthetic rehabilitation can be achieved; it is intended for long-term use."
"Procedure","obturator prosthesis, modification",5933,"Synonymous terminology: adjustment, denture adjustment, temporary or office reline.Revision or alteration of an existing obturator (surgical, interim, or definitive); possible modifications include relief of the denture base due to tissue compression, augmentation of the seal or peripheral areas to effect adequate sealing or separation between the nasal and oral cavities."
"Procedure","mandibular resection prosthesis with guide flange",5934,"Synonymous terminology: resection device, resection appliance.A prosthesis which guides the remaining portion of the mandible, left after a partial resection, into a more normal relationship with the maxilla. This allows for some tooth-to-tooth or an improved tooth contact. It may also artificially replace missing teeth and thereby increase masticatory efficiency."
"Procedure","mandibular resection prosthesis without guide flange",5935,"A prosthesis which helps guide the partially resected mandible to a more normal relation with the maxilla allowing for increased tooth contact. It does not have a flange or ramp, however, to assist in directional closure. It may replace missing teeth and thereby increase masticatory efficiency.Dentists who treat mandibulectomy patients may prefer to replace some, all or none of the teeth in the defect area. Frequently, the defects margins preclude even partial replacement. Use of a guide (a mandibular resection prosthesis with a guide flange) may not be possible due to anatomical limitations or poor patient tolerance. Ramps, extended occlusal arrangements and irregular occlusal positioning relative to the denture foundation frequently preclude stability of the prostheses, and thus some prostheses are poorly tolerated under such adverse circumstances."
"Procedure","obturator prosthesis, interim",5936,"Synonymous terminology: immediate postoperative obturator.A prosthesis which is made following completion of the initial healing after a surgical resection of a portion or all of one or both the maxillae; frequently many or all teeth in the defect area are replaced by this prosthesis. This prosthesis replaces the surgical obturator, which is usually inserted at, or immediately following the resection.Generally, an interim obturator is made to facilitate closure of the resultant defect after initial healing has been completed. Unlike the surgical obturator, which usually is made prior to surgery and frequently revised in the operating room during surgery, the interim obturator is made when the defect margins are clearly defined and further surgical revisions are not planned. It is a provisional prosthesis, which may replace some or all lost teeth, and other lost bone and soft tissue structures. Also, it frequently must be revised (termed an obturator prosthesis modification) during subsequent dental procedures (e.g., restorations, gingival surgery) as well as to compensate for further tissue shrinkage before a definitive obturator prosthesis is made."
"Procedure","trismus appliance (not for TMD treatment)",5937,"Synonymous terminology: occlusal device for mandibular trismus, dynamic bite opener.A prosthesis, which assists the patient in increasing their oral aperture width in order to eat as well as maintain oral hygiene.Several versions and designs are possible, all intending to ease the severe lack of oral opening experienced by many patients immediately following extensive intraoral surgical procedures."
"Procedure","feeding aid",5951,"Synonymous terminology: feeding prosthesis.A prosthesis, which maintains the right and left maxillary segments of an infant cleft palate patient in their properorientation until surgery is performed to repair the cleft. It closes the oral-nasal cavity defect, thus enhancing sucking and swallowing.Used on an interim basis, this prosthesis achieves separation of the oral and nasal cavities in infants born with wide clefts necessitating delayed closure. It is eliminated if surgical closure can be effected or, alternatively, with eruption of the deciduous dentition a pediatric speech aid may be made to facilitate closure of the defect."
